Lon,Lat,Stat,Num
32.61725,36.69665,SARV_GPS,6
32.2826,36.28255,GAZI_GPS,3
39.25646,38.64467,ELAZ_GPS,8
38.42525,38.32833,MLTY_GPS,4
41.3574,37.4174,MIDY_GPS,5
47.229,-19.018,ABPO_GPS,7
38.766,9.035,ADD1_GPS,11
46.194,-22.366,AMBI_GPS,1
48.469,-14.762,ANOM_GPS,1
48.067,-21.381,ANTA_GPS,2
49.327,-12.315,ANTS_GPS,1
37.561,6.062,ARMI_GPS,6
36.713,-3.409,ARS1_GPS,3
345.588,-7.951,ASC1_GPS,4
35.754,-4.179,BABT_GPS,3
29.893,0.35,BAKC_GPS,6
33.457,-8.914,BEYA_GPS,4
2.001,7.182,BJAB_GPS,4
2.45,6.385,BJCO_GPS,7
2.928,11.125,BJKA_GPS,4
3.204,9.951,BJNI_GPS,4
2.626,9.358,BJPA_GPS,4
1.993,7.928,BJSA_GPS,4
4.229,12.469,BKFP_GPS,4
39.282,8.472,BOKU_GPS,6
9.118,10.123,CGGN_GPS,9
342.535,14.685,DAKA_GPS,6
39.483,13.481,DAKE_GPS,3
42.034,9.423,DAMY_GPS,6
23.993,-30.665,DEAR_GPS,5
12.606,13.312,DIFA_GPS,2
1.662,9.692,DJO1_GPS,6
35.748,-6.17,DOD2_GPS,4
35.748,-6.186,DODM_GPS,4
32.445,0.038,EBBE_GPS,4
35.277,0.519,ELDS_GPS,3
29.88,0.375,ELE2_GPS,2
35.277,-4.164,EMSK_GPS,2
38.763,9.02,ETAD_GPS,4
36.817,7.668,ETJI_GPS,3
12.498,9.35,FUTY_GPS,4
359.994,16.252,GAO0_GPS,7
36.114,-2.726,GEL2_GPS,2
36.04,-2.748,GEL3_GPS,2
36.006,-2.63,GEL4_GPS,1
27.707,-25.887,HARB_GPS,10
37.567,-3.382,HIMO_GPS,3
38.035,-5.443,HNDI_GPS,2
19.223,-34.425,HNUS_GPS,4
27.687,-25.89,HRAO_GPS,12
35.383,-23.871,INHB_GPS,3
31.275,-8.086,KALA_GPS,2
36.3,-2.824,KETC_GPS,2
35.103,-9.547,KFNY_GPS,2
29.637,-4.866,KIG2_GPS,2
39.522,-8.926,KILW_GPS,2
33.912,-6.134,KIOM_GPS,3
36.857,-1.25,KISM_GPS,3
35.242,-1.835,KLCP_GPS,3
38.435,-5.155,KRGW_GPS,3
35.671,-3.374,KRT2_GPS,3
34.756,-0.104,KSMU_GPS,3
33.765,-9.583,KYEL_GPS,2
36.683,-2.693,LGDO_GPS,3
35.628,-2.049,LLND_GPS,3
33.789,-13.947,LLNG_GPS,4
38.055,-9.484,LWLE_GPS,2
34.738,-8.84,MAK2_GPS,4
40.194,-2.996,MAL2_GPS,14
47.681,-16.101,MAMP_GPS,1
38.797,-10.737,MAS2_GPS,3
34.585,-9.592,MATL_GPS,2
23.528,-19.902,MAUA_GPS,8
30.738,-0.601,MBAR_GPS,8
25.54,-25.805,MFKG_GPS,4
35.29,0.288,MOIU_GPS,4
23.151,-15.254,MONG_GPS,4
37.67,-6.743,MORO_GPS,2
37.337,-3.35,MOSH_GPS,3
31.041,-6.349,MPA2_GPS,1
13.552,-1.632,MSKU_GPS,4
34.006,-11.425,MZUZ_GPS,4
39.291,8.568,NAZR_GPS,6
2.183,13.479,NIAM_GPS,4
36.089,-3.617,NIAT_GPS,2
35.934,-0.373,NJOR_GPS,3
9.672,0.354,NKLG_GPS,10
39.258,-15.123,NMPL_GPS,3
30.09,-1.945,NURK_GPS,5
33.183,-4.257,NZEG_GPS,4
358.487,12.356,OUAG_GPS,5
29.227,-1.682,OVG__GPS,3
40.484,-12.964,PMBA_GPS,4
28.224,-25.746,PRE1_GPS,12
32.078,-28.796,RBAY_GPS,8
36.893,-1.221,RCMN_GPS,6
4.524,7.505,RECT_GPS,4
55.57,-21.21,REUN_GPS,9
40.026,7.113,ROBE_GPS,3
19.776,-17.91,RUND_GPS,2
6.979,4.802,RUST_GPS,2
17.879,-29.669,SBOK_GPS,5
39.438,8.292,SELA_GPS,6
34.896,-2.409,SERN_GPS,3
55.48,-4.67,SEY1_GPS,10
55.531,-4.679,SEYG_GPS,4
34.724,-4.813,SGD2_GPS,3
18.44,-34.188,SIMO_GPS,8
44.522,-22.902,SKRA_GPS,2
