Lon,Lat,E.vel,N.vel,E.adj,N.adj,E.sig,N.sig,Corr,U.vel,U.adj,U.sig,Stat,Ref
34.763,30.598,-4.53,10.53,21.82,22.53,0.22,0.38,0.001,12.02,12.02,0.53,RAMO_GPS,euref_ch8_eura
34.7631,30.5976,-2.84,7.6,0.0,0.0,0.05,0.05,0.001,0.74,0.0,0.19,RAMO_GPS,serpelloni_2022_eura
34.763,30.598,-1.81,8.97,24.54,20.97,0.15,0.13,-0.016,-25.87,-25.87,4.04,RAMO_GPS,gomez_2020_eura
34.7631,30.5976,-2.68,7.66,23.67,19.66,0.1,0.1,0.001,-0.38,-0.38,3.01,RAMO_GPS,hamiel_2021_eura
34.7631,30.5976,-3.01,7.53,23.34,19.53,0.2,0.46,0.001,-0.07,-0.07,3.0,RAMO_GPS,saleh_2015_eura
34.7966,28.2995,-0.0,11.44,26.42,23.43,0.11,0.14,0.006,-0.62,-0.62,0.5,RASH_GPS,viltres_2022_eura
34.7966,28.2995,-0.27,11.46,0.0,0.0,0.1,0.13,0.001,-0.07,0.0,0.5,RASH_GPS,serpelloni_2022_eura
34.79658,28.29948,-0.11,11.42,26.31,23.41,0.4,0.4,-0.008,-0.83,-0.83,1.26,RASH_GPS,castro_2021_eura
34.7966,28.2995,-0.0,11.41,26.42,23.4,0.1,0.1,0.002,-0.41,-0.41,3.01,RASH_GPS,hamiel_2021_eura
34.797,28.299,-0.52,11.62,25.9,23.61,0.49,0.48,-0.005,-33.97,-33.97,6.22,RASH_GPS,gomez_2020_eura
34.7966,28.2995,-1.16,10.05,25.26,22.04,0.49,0.64,0.001,-0.14,-0.14,3.0,RASH_GPS,saleh_2015_eura
39.054,15.8534,-1.71,5.23,24.57,16.34,0.22,0.2,-0.003,1.03,1.03,0.58,SHEB_GPS,viltres_2022_eura
39.054,15.853,-1.66,5.41,24.62,16.52,0.19,0.21,0.005,-0.63,-0.63,3.01,SHEB_GPS,stamps_2018_eura
39.054,15.853,-1.27,5.22,25.01,16.33,0.31,0.31,0.002,-1.2,-1.2,6.41,SHEB_GPS,viltres_2020_eura
39.054,15.853,-1.68,4.55,24.6,15.66,0.49,0.54,0.0,0.1,0.1,3.0,SHEB_GPS,nocquet_2012_eura
39.054,15.8534,-1.27,5.19,0.0,0.0,0.12,0.11,0.001,-0.22,0.0,0.43,SHEB_GPS,serpelloni_2022_eura
39.054,15.853,-1.38,5.34,24.9,16.45,0.43,0.47,0.006,3.55,3.55,3.32,SHEB_GPS,mcclusky_2010_eura
46.4006,24.9107,4.1,19.75,31.46,29.18,0.16,0.11,0.001,-0.57,-0.57,0.56,SOLA_GPS,viltres_2022_eura
46.401,24.911,4.29,18.73,31.65,28.16,0.63,0.64,0.005,2.25,2.25,4.59,SOLA_GPS,alchalbi_2013_eura
46.401,24.911,3.96,19.26,31.32,28.69,0.21,0.2,0.0,0.08,0.08,3.0,SOLA_GPS,nocquet_2012_eura
46.40057,24.91068,4.59,20.11,31.95,29.54,0.5,0.5,-0.005,-1.55,-1.55,1.57,SOLA_GPS,castro_2021_eura
46.4006,24.9107,4.38,19.93,0.0,0.0,0.08,0.07,0.001,-1.04,0.0,0.34,SOLA_GPS,serpelloni_2022_eura
46.4006,24.9107,4.35,19.79,31.71,29.22,0.15,0.14,-0.025,-0.2,-0.2,3.07,SOLA_GPS,khorrami_2019_eura
46.4006,24.9107,4.38,20.21,31.74,29.64,0.37,0.37,0.004,-0.3,-0.3,3.0,SOLA_GPS,saleh_2015_eura
46.4006,24.9107,4.46,20.04,31.82,29.47,0.11,0.11,-0.011,-1.06,-1.06,3.02,SOLA_GPS,hamiel_2021_eura
46.401,24.911,4.22,20.12,31.58,29.55,0.3,0.27,0.0,0.22,0.22,3.0,SOLA_GPS,graham_2021_eura
46.401,24.911,3.65,19.49,31.01,28.92,0.28,0.25,-0.018,-0.6,-0.6,3.28,SOLA_GPS,mcclusky_2010_eura
46.401,24.911,6.67,19.62,34.03,29.05,1.53,1.52,-0.002,0.81,0.81,3.0,SOLA_GPS,reilinger_2006_eura
34.8717,28.5515,0.31,11.45,26.73,23.43,0.16,0.15,0.004,-0.63,-0.63,0.5,TAYS_GPS,viltres_2022_eura
34.87166,28.55153,0.11,11.14,26.53,23.12,0.5,0.49,-0.003,0.24,0.24,1.55,TAYS_GPS,castro_2021_eura
34.8717,28.5515,0.05,11.48,0.0,0.0,0.13,0.14,0.001,-0.23,0.0,0.58,TAYS_GPS,serpelloni_2022_eura
34.8717,28.5515,-1.02,9.64,25.4,21.62,0.79,0.71,0.001,-0.13,-0.13,3.0,TAYS_GPS,saleh_2015_eura
